model,class,precision,recall,f1_score,support
Naive Bayes,MILD,0.4,0.8,0.5333333333333333,5.0
Naive Bayes,MODERATE,0.4,0.2222222222222222,0.2857142857142857,9.0
Naive Bayes,SEVERE,0.6,0.6,0.6,5.0
Naive Bayes,VERY SEVERE,0.0,0.0,0.0,2.0
Naive Bayes,overall,0.4095238095238095,0.42857142857142855,0.39229024943310653,21.0
Logistic Regression,MILD,0.625,1.0,0.7692307692307693,5.0
Logistic Regression,MODERATE,0.7142857142857143,0.5555555555555556,0.625,9.0
Logistic Regression,SEVERE,0.8,0.8,0.8,5.0
Logistic Regression,VERY SEVERE,1.0,0.5,0.6666666666666666,2.0
Logistic Regression,overall,0.7406462585034014,0.7142857142857143,0.70497557997558,21.0
SVM,MILD,0.625,1.0,0.7692307692307693,5.0
SVM,MODERATE,1.0,0.4444444444444444,0.6153846153846154,9.0
SVM,SEVERE,0.625,1.0,0.7692307692307693,5.0
SVM,VERY SEVERE,1.0,0.5,0.6666666666666666,2.0
SVM,overall,0.8214285714285714,0.7142857142857143,0.6935286935286936,21.0
Random Forest,MILD,0.8,0.8,0.8,5.0
Random Forest,MODERATE,0.875,0.7777777777777778,0.8235294117647058,9.0
Random Forest,SEVERE,0.625,1.0,0.7692307692307693,5.0
Random Forest,VERY SEVERE,0.0,0.0,0.0,2.0
Random Forest,overall,0.7142857142857143,0.7619047619047619,0.7265675500969618,21.0
XGBoost,MILD,1.0,0.8,0.8888888888888888,5.0
XGBoost,MODERATE,0.9,1.0,0.9473684210526315,9.0
XGBoost,SEVERE,0.8333333333333334,1.0,0.9090909090909091,5.0
XGBoost,VERY SEVERE,1.0,0.5,0.6666666666666666,2.0
XGBoost,overall,0.9174603174603174,0.9047619047619048,0.8975975291764765,21.0
ANN,MILD,0.8,0.8,0.8,5.0
ANN,MODERATE,0.6363636363636364,0.7777777777777778,0.7,9.0
ANN,SEVERE,0.8,0.8,0.8,5.0
ANN,VERY SEVERE,0.0,0.0,0.0,2.0
ANN,overall,0.6536796536796536,0.7142857142857143,0.680952380952381,21.0
